productId,skuId,name,brand,top,category,bracket,price
1003301043,1003194993,Bote Inflável Seahawk 4 Pessoas 351cm Suporta 400kg Intex,Intex,ESPORTES,PRAIA E PISCINA,unknown,1299.99
1002260170,1002136986,Jogo PS5 - Uncharted - Coleção Legado dos Ladrões - Sony,Sony,TECNOLOGIA,JOGOS DE VIDEO-GAME,13+,124.91
1003300130,1003194030,Controle X 360 Sem Fio  Cor Preto ALTO-6560W Altomex,Altomex,TECNOLOGIA,CONTROLES,unknown,199.99
1003093494,1002962091,Conjunto de Carimbo e Caderno - Melissa & Doug - Cachorro - Sunny,Sunny,LIVROS E PAPELARIA,LIVROS,3-5,59.91
1003254968,1003140112,Box Caixa Premium - Fifa - Copa Do Mundo 2026 - Álbum Capa Dura Ouro Com 350 Figurinhas - Panini,Catavento,LIVROS E PAPELARIA,ALBUM DE FIGURINHAS,6-8,299.91
1002929142,1002794956,Mochila Pelúcia - Hello Kitty - Candide,Candide,LIVROS E PAPELARIA,MOCHILAS,0-2,109.99
1003252642,1003137234,LEGO - Disney - Speed Champions - Relâmpago Mcqueen - 77255,LEGO,BRINQUEDOS,BLOCOS DE MONTAR,9-12,222.99
1003121833,1002996212,Boneca - Baby Alive - Festinha do Chá - Loira - Hasbro,HASBRO,BONECOS E BONECAS,BONECAS,3-5,207.99
1003170602,1003047707,Brinquedo Interativo - Minimi - Casinha Pets - Modelos Sortidos - Jxp Brink,SEM LICENÇA,BABY,BRINQUEDOS PARA BEBES,0-2,36.99
1002959732,1002825509,Pelucia - Furby Furblets - Modelos Unitários Sortidos - Hasbro,Hasbro,BRINQUEDOS,PELUCIAS,6-8,123.99
1003173870,1003051273,Carro De Corrida - Hot Whells - Sprint 1:24 Rc - 2 Canais - Vermelho,Multikids,BRINQUEDOS,VEICULOS DE BRINQUEDO,3-5,77.99
1001861386,100270288,Figura de Ação - 24 Cm - Disney - Marvel - Avenges - Homem Aranha - Hasbro,Hasbro,BONECOS E BONECAS,BONECOS,3-5,63.99
1003254684,1003139809,Jogo de Cartas - Pokémon - ME03 - Blister Unitário - Copag - Modelos Unitários Sortidos,Copag,JOGOS,JOGOS DE CARTAS,6-8,18.99
100110860,100110518,Jogo Detetive com App - Estrela,Estrela,JOGOS,JOGOS DE TABULEIRO,6-8,99.95
1003249347,1003133650,Boneco - Funko Pop - Guerreiras Do K-Pop - Zoey - Candide,Candide,COLECIONAVEIS,FUNKO POP,3-5,149.99
1003186535,1003065107,EXCLUSIVO: Chaveiro Miniatura Colecionável - Cutie - Twist - Barbie,SEM LICENÇA,COLECIONAVEIS,ACTION FIGURE,3-5,19.91
1003168977,1003045912,Blocos De Montar - Mattel - Custom 68 Camaro,Mattel,COLECIONAVEIS,CARRINHOS COLECIONAVEIS,9-12,148.99
1003181004,1003058846,EXCLUSIVO - Bicicleta De Equilíbrio - Fisher-Price - Baby,Bandeirante,BABY,MINI VEICULOS,0-2,370.99
1002948899,1002814846,Conjunto de Mordedores - Disney Baby - Meu Primeiro Kit - Bda - Toyster,Toyster,BABY,MORDEDORES,0-2,89.99
